trajectory_source,subset,contrast,metric,et_measure,n_items,spearman_rho,spearman_p,pearson_r,pearson_p,spearman_p_fdr,spearman_fdr_sig
bidirectional,ClassicGP,NPS_AMB-NPS_UAMB,final_entropy,regin,24,0.17043478260869566,0.4258955363074477,0.198104303373147,0.3534374969525911,0.9727939923156125,False
bidirectional,ClassicGP,NPS_AMB-NPS_UAMB,final_sampler_entropy,regin,24,0.4339130434782608,0.0341349601326374,0.4087984765055788,0.04732019025418739,0.5017839139497698,False
bidirectional,ClassicGP,NPS_AMB-NPS_UAMB,final_sampler_p_target,regin,24,0.28782608695652173,0.1726154993827195,0.23931234469060061,0.26005456094404467,0.9295281434334138,False
bidirectional,ClassicGP,NPS_AMB-NPS_UAMB,cumulative_kl,regin,24,-0.03913043478260869,0.855947935071337,0.012824819814672567,0.9525724007274666,0.9766457066962368,False
bidirectional,ClassicGP,NPS_AMB-NPS_UAMB,sampler_cumulative_kl,regin,24,0.008695652173913044,0.967832994170269,-0.07919066068245731,0.7130063119772998,0.9911198401272534,False
bidirectional,ClassicGP,NPS_AMB-NPS_UAMB,steps_taken,regout,24,-0.46459056984780234,0.022180783269093188,-0.5206760528481,0.009091316690381426,0.36228612672852206,False
bidirectional,ClassicGP,NPS_AMB-NPS_UAMB,final_surprisal,regout,24,0.37043478260869556,0.0747679168688463,0.4407616009236867,0.031101393747061397,0.709089276110994,False
bidirectional,ClassicGP,NPS_AMB-NPS_UAMB,final_entropy,regout,24,-0.45826086956521733,0.024318233006425286,-0.5014074929089563,0.012554883802767655,0.3762926580994228,False
bidirectional,ClassicGP,NPS_AMB-NPS_UAMB,final_sampler_entropy,regout,24,-0.1217391304347826,0.5709355226889166,-0.2216306750337741,0.2979603038684372,0.9727939923156125,False
bidirectional,ClassicGP,NPS_AMB-NPS_UAMB,final_sampler_p_target,regout,24,-0.18086956521739128,0.39767420741690407,-0.16228962323214244,0.4486577148128827,0.9727939923156125,False
bidirectional,ClassicGP,NPS_AMB-NPS_UAMB,cumulative_kl,regout,24,-0.5599999999999999,0.00443042702628259,-0.5988347750277321,0.0019896472388473523,0.15895344696280558,False
bidirectional,ClassicGP,NPS_AMB-NPS_UAMB,sampler_cumulative_kl,regout,24,-0.5765217391304347,0.0031894142635749373,-0.6832277560588405,0.00023347005658356533,0.15895344696280558,False
bidirectional,ClassicGP,NPZ_AMB-NPZ_UAMB,steps_taken,ffd,24,0.11934604417771695,0.5785845559248516,0.1511142303568984,0.48090410188693117,0.9727939923156125,False
