subset,contrast,cond_a,cond_b,variable,item,mean_diff(a-b),auc_diff(a-b)
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,p_syntactic_group,2,0.016569433748253638,0.016574753122255176
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,p_syntactic_group,3,0.004840205853205402,0.004834203207393877
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,p_syntactic_group,4,0.0019918934170572123,0.0019865325973008256
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,p_syntactic_group,5,-0.003503797614137091,-0.003507892630654633
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,p_syntactic_group,6,0.006203654481961445,0.006205729933430602
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,p_syntactic_group,7,0.02411507692080092,0.02410230788249325
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,p_syntactic_group,8,0.004715430038769369,0.00471439804484591
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,p_syntactic_group,9,0.016263247453145283,0.01624988233228885
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,p_syntactic_group,10,0.0023376487380206284,0.0023366446232908093
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,p_syntactic_group,11,0.0023054277250081395,0.0022976354134617164
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,p_syntactic_group,12,-0.005361212221130825,-0.005347903978537303
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,p_syntactic_group,13,0.005149441080990419,0.005148600704189029
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,p_syntactic_group,14,0.0033298156249257603,0.003353906940267365
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,p_syntactic_group,15,0.004320602530543012,0.004323898855559973
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,p_syntactic_group,16,0.000636252345262784,0.000636357595489702
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,p_syntactic_group,17,-0.0017679536575594087,-0.0017687028076864726
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,p_syntactic_group,18,0.01041006096090117,0.010406689278670993
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,p_syntactic_group,19,0.008998232263618948,0.008994691805236276
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,p_syntactic_group,20,0.02770243089581367,0.027703839557274998
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,p_syntactic_group,21,0.009903004264065454,0.009894878834644176
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,p_syntactic_group,22,0.02304924306188851,0.023037334561301845
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,p_syntactic_group,23,-0.03330946912532793,-0.033259837547366326
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,p_syntactic_group,24,-0.0048526063766696475,-0.00485300844925084
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,p_semantic_neighbors,1,0.0033740387489155817,0.0033517529690729924
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,p_semantic_neighbors,2,0.00010617869135597056,0.00010613487839689566
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,p_semantic_neighbors,3,0.0011014586863423409,0.001101530912275715
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,p_semantic_neighbors,4,2.246746722950898e-05,2.2424509947604018e-05
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,p_semantic_neighbors,5,-7.952035864782694e-05,-7.945182544719007e-05
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,p_semantic_neighbors,6,0.030883795621577618,0.03088617227267478
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,p_semantic_neighbors,7,0.0004924210704462784,0.0004910127699507254
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,p_semantic_neighbors,8,0.0010867225824654385,0.0010879182339261842
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,p_semantic_neighbors,9,0.00012314987919976363,0.00012295712999339542
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,p_semantic_neighbors,10,-1.9469469086275073e-06,-2.0609067530743452e-06
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,p_semantic_neighbors,11,-0.00014596381460724606,-0.0001451442776197589
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,p_semantic_neighbors,12,-0.00017077775097296328,-0.00017071391836592732
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,p_semantic_neighbors,13,0.0007709404841783319,0.0007721135745035377
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,p_semantic_neighbors,14,0.0015376509965121458,0.0015590705166019605
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,p_semantic_neighbors,15,0.000133196114265933,0.00013317128491726907
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,p_semantic_neighbors,16,0.00010937108086981788,0.0001093062453755362
ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,p_semantic_neighbors,17,4.330409215782539e-06,4.380860859220121e-06
