subset,contrast,cond_a,cond_b,item,diff_steps_taken,diff_final_surprisal,diff_final_entropy,diff_final_sampler_entropy,diff_final_sampler_p_target,diff_cumulative_kl,diff_sampler_cumulative_kl
ClassicGP,NPS_AMB-NPS_UAMB,NPS_AMB,NPS_UAMB,10,-411.0,3.1159731177063144,-4.294445037841797,-1.3801178932189941,-0.00011897939839400351,-0.306196850942797,-0.4304471858195029
ClassicGP,NPS_AMB-NPS_UAMB,NPS_AMB,NPS_UAMB,11,158.0,-1.0837396551508611,1.850898265838623,1.4026727676391602,1.1426418495830148e-05,0.07613371015031589,0.21104199503315613
ClassicGP,NPS_AMB-NPS_UAMB,NPS_AMB,NPS_UAMB,12,319.0,-2.0101390692948407,2.700364112854004,0.5002951622009277,3.486884088488296e-05,0.1337073866961873,0.30868386905058287
ClassicGP,NPS_AMB-NPS_UAMB,NPS_AMB,NPS_UAMB,13,-306.0,0.7229629310541092,-2.34494686126709,-0.32318115234375,-4.837580490857363e-06,-0.24934055600169813,-0.3068786318763159
ClassicGP,NPS_AMB-NPS_UAMB,NPS_AMB,NPS_UAMB,14,541.0,-0.8657842564109526,4.460144996643066,-0.0001468658447265625,-0.0008439654484391212,0.4337868898292072,0.7848765100934543
ClassicGP,NPS_AMB-NPS_UAMB,NPS_AMB,NPS_UAMB,15,-218.0,0.4809354277343765,-1.8431134223937988,0.5796318054199219,2.1065989130875096e-06,-0.48975271675226395,-1.1882153929327615
ClassicGP,NPS_AMB-NPS_UAMB,NPS_AMB,NPS_UAMB,16,98.0,0.575897773296802,0.7760615348815918,-0.3558492660522461,-0.0003757509693969041,0.036508277837128844,0.10133030643919483
ClassicGP,NPS_AMB-NPS_UAMB,NPS_AMB,NPS_UAMB,17,259.0,-2.086305211283957,2.7456624507904053,0.041278839111328125,6.3851603044895455e-06,0.10689438501140103,0.40648918808437884
ClassicGP,NPS_AMB-NPS_UAMB,NPS_AMB,NPS_UAMB,18,539.0,-5.678861121850968,4.811646461486816,0.20247173309326172,2.3381931555377378e-06,0.26708428593701683,1.004523753770627
ClassicGP,NPS_AMB-NPS_UAMB,NPS_AMB,NPS_UAMB,19,-383.0,-1.3653273423115415,-1.1217708587646484,0.990659236907959,1.8439783161738887e-05,-0.07906467303837417,0.10270666307769716
ClassicGP,NPS_AMB-NPS_UAMB,NPS_AMB,NPS_UAMB,1,-411.0,1.1784250229136468,-2.407327651977539,0.23730087280273438,-0.00010958471102640033,-0.37362662166560767,-0.3629789671394974
