subset,contrast,cond_a,cond_b,item,diff_steps_taken,diff_final_surprisal,diff_final_entropy,diff_final_sampler_entropy,diff_final_sampler_p_target,diff_cumulative_kl,diff_sampler_cumulative_kl
ClassicGP,NPZ_AMB-NPZ_UAMB,NPZ_AMB,NPZ_UAMB,11,610.0,-6.138226008729566,5.72541731595993,1.2547712326049805,1.8980463210027665e-05,0.2564436303364346,0.7823807172826491
ClassicGP,NPZ_AMB-NPZ_UAMB,NPZ_AMB,NPZ_UAMB,12,992.0,-7.363252242575065,5.525001227855682,-2.0724124908447266,4.785689270647708e-05,0.6215470341230684,1.0606487588374875
ClassicGP,NPZ_AMB-NPZ_UAMB,NPZ_AMB,NPZ_UAMB,13,-650.0,5.003312423574441,-4.3884711265563965,0.5762100219726562,-0.0001818115542846499,-0.7546647708804812,-1.5730875012814067
ClassicGP,NPZ_AMB-NPZ_UAMB,NPZ_AMB,NPZ_UAMB,14,840.0,-4.316106447842456,7.800161182880402,1.2792391777038574,-0.0021075066179037094,0.9842892062588362,2.09643691329984
ClassicGP,NPZ_AMB-NPZ_UAMB,NPZ_AMB,NPZ_UAMB,15,-642.0,3.7336822081764893,-6.7168731689453125,-0.3831939697265625,-1.729985342535656e-05,-0.5003781469422393,-0.8625019460450858
ClassicGP,NPZ_AMB-NPZ_UAMB,NPZ_AMB,NPZ_UAMB,16,-1.0,0.48915857807395646,0.8819975852966309,1.0739946365356445,-4.5041342673357576e-05,-0.6614422991660831,-1.9026616150513291
ClassicGP,NPZ_AMB-NPZ_UAMB,NPZ_AMB,NPZ_UAMB,17,89.0,0.7789257014575206,1.2520132064819336,0.8550305366516113,-3.82002735932474e-06,0.08124241499172058,0.20687341294251382
ClassicGP,NPZ_AMB-NPZ_UAMB,NPZ_AMB,NPZ_UAMB,18,-697.0,6.1547905800589895,-4.771071910858154,0.0725398063659668,-7.302602540448788e-07,-0.6542467369217775,-1.063977486162912
ClassicGP,NPZ_AMB-NPZ_UAMB,NPZ_AMB,NPZ_UAMB,19,-540.0,1.9816806733205485,-5.188627481460571,-1.8740010261535645,-1.1104570148745552e-05,-0.48134494087207713,-0.7434996704687364
ClassicGP,NPZ_AMB-NPZ_UAMB,NPZ_AMB,NPZ_UAMB,1,223.0,-1.308552254488525,1.1362075805664062,-0.1613478660583496,0.00038363446947187185,0.3201189300561964,0.2711093816324137
ClassicGP,NPZ_AMB-NPZ_UAMB,NPZ_AMB,NPZ_UAMB,20,562.0,0.10916818899639402,3.974907875061035,0.40264368057250977,-0.0016390210948884487,0.5741969973387313,0.5988327316590585
ClassicGP,NPZ_AMB-NPZ_UAMB,NPZ_AMB,NPZ_UAMB,21,480.0,-3.9179845314330652,4.851731657981873,0.3115234375,4.9365300583303906e-05,0.2766284341341816,0.6770175534766167
ClassicGP,NPZ_AMB-NPZ_UAMB,NPZ_AMB,NPZ_UAMB,22,-626.0,2.7246910302202068,-4.904462099075317,0.38973140716552734,-0.0005037236551288515,-0.894900907522242,-1.2137749822577462
ClassicGP,NPZ_AMB-NPZ_UAMB,NPZ_AMB,NPZ_UAMB,23,166.0,1.913398111460296,0.520258903503418,-0.6965703964233398,-2.847408325123979e-06,-0.029060019624012057,-0.9907724185031839
ClassicGP,NPZ_AMB-NPZ_UAMB,NPZ_AMB,NPZ_UAMB,24,287.0,-3.0865111191901917,3.1755462884902954,1.398484230041504,-0.00015278223145287484,0.10461391550779808,0.7856449202517979
ClassicGP,NPZ_AMB-NPZ_UAMB,NPZ_AMB,NPZ_UAMB,2,-274.0,1.7951238702527128,-2.637094020843506,-0.4712200164794922,-1.2398764965837472e-06,-0.22973561109029106,-0.8372161837760359
ClassicGP,NPZ_AMB-NPZ_UAMB,NPZ_AMB,NPZ_UAMB,3,-370.0,1.5396318141242133,-2.4447712898254395,0.7623076438903809,-6.053235847502947e-05,-0.20381013437145157,-0.07379807671532035
ClassicGP,NPZ_AMB-NPZ_UAMB,NPZ_AMB,NPZ_UAMB,4,283.0,-1.2874770220708776,2.379913091659546,0.5659008026123047,3.71820897271391e-06,0.3001295639187447,0.7211155833792873
ClassicGP,NPZ_AMB-NPZ_UAMB,NPZ_AMB,NPZ_UAMB,5,869.0,-5.411808014721585,6.071402430534363,-0.5653214454650879,7.254930096678436e-07,1.4752896445279475,3.10591405199375
ClassicGP,NPZ_AMB-NPZ_UAMB,NPZ_AMB,NPZ_UAMB,6,-642.0,2.490297839897692,-5.638777732849121,-0.41525936126708984,-0.001537309493869543,-0.4693647489984869,-0.8417662623105571
ClassicGP,NPZ_AMB-NPZ_UAMB,NPZ_AMB,NPZ_UAMB,7,-133.0,1.0273457985054542,-0.8534836769104004,0.09070873260498047,-0.005538407247513533,-0.28087841095839394,-0.4765241666464135
ClassicGP,NPZ_AMB-NPZ_UAMB,NPZ_AMB,NPZ_UAMB,8,33.0,0.7616206025631183,0.15845870971679688,0.15636587142944336,-0.0007912181317806244,-0.08418226853609667,-0.1575988315162249
ClassicGP,NPZ_AMB-NPZ_UAMB,NPZ_AMB,NPZ_UAMB,9,85.0,-0.02300174625843532,1.2624006271362305,0.8057641983032227,-1.7472601030021906e-05,-0.504363921827462,-0.9329336006194353
RelativeClause,RC_Obj-RC_Subj,RC_Obj,RC_Subj,25,-180.0,-8.152660292971856,-5.051260471343994,-4.334815979003906,0.028826589019445237,-0.12817330074176425,-0.1331295395793859
RelativeClause,RC_Obj-RC_Subj,RC_Obj,RC_Subj,26,-711.0,-9.360163603761313,-9.550791263580322,-4.402305603027344,0.07892799844375986,-0.6168122675717314,-1.4272899288334884
RelativeClause,RC_Obj-RC_Subj,RC_Obj,RC_Subj,27,-60.0,-6.172106972409681,-3.8819069862365723,-4.351578235626221,0.015447128622327,0.3186182432982605,0.46516219998011366
RelativeClause,RC_Obj-RC_Subj,RC_Obj,RC_Subj,28,-85.0,-9.07825567140851,-2.196621894836426,-2.7351903915405273,0.13791730304365046,0.08917416429540026,0.08576094033196568
RelativeClause,RC_Obj-RC_Subj,RC_Obj,RC_Subj,29,-325.0,-0.320501030665314,-5.813821315765381,-3.5526113510131836,0.0003145296941511333,-0.37640045266016386,-0.46902614616556093
RelativeClause,RC_Obj-RC_Subj,RC_Obj,RC_Subj,30,-817.0,0.3766092086733046,-10.266587018966675,-4.222379207611084,0.0008156554104061797,-0.7092000369739253,-1.496884199033957
RelativeClause,RC_Obj-RC_Subj,RC_Obj,RC_Subj,31,-147.0,-11.72764602052127,-4.96586799621582,-5.032842636108398,0.23274254551142803,-0.36023001200010185,-0.4531305066193454
RelativeClause,RC_Obj-RC_Subj,RC_Obj,RC_Subj,32,-579.0,-8.886019171697583,-7.832401514053345,-4.50473165512085,0.05716035785371787,-0.30103548599072383,-1.022029071347788
RelativeClause,RC_Obj-RC_Subj,RC_Obj,RC_Subj,33,-157.0,-8.476505127108767,-3.44791316986084,-2.6484928131103516,0.041132467675197404,-1.1435715526695276,-2.8943351702182554
RelativeClause,RC_Obj-RC_Subj,RC_Obj,RC_Subj,34,-398.0,-7.234808020858942,-6.209384918212891,-3.580042839050293,0.014214934140909463,-0.4096214681276251,-1.0744177864398807
RelativeClause,RC_Obj-RC_Subj,RC_Obj,RC_Subj,35,247.0,7.344480200878797,-0.7452588081359863,-3.8188724517822266,-0.0007321250811855862,0.29852084654339706,0.1049311319948174
RelativeClause,RC_Obj-RC_Subj,RC_Obj,RC_Subj,36,-208.0,-9.75062349295797,-1.96697998046875,-0.8773307800292969,0.05559363718930399,-0.43969854566785216,-0.8224525825935416
RelativeClause,RC_Obj-RC_Subj,RC_Obj,RC_Subj,37,-755.0,0.8116290205752232,-8.78538703918457,-2.233470916748047,0.0027598849264904857,-0.6261344356171321,-0.8570701974676922
RelativeClause,RC_Obj-RC_Subj,RC_Obj,RC_Subj,38,-396.0,-6.9102068684916,-6.118163108825684,-3.3724451065063477,0.026436424799612723,-0.22082810317078838,-0.13240165225579403
RelativeClause,RC_Obj-RC_Subj,RC_Obj,RC_Subj,39,-480.0,-9.556054218722732,-6.802282333374023,-2.534152030944824,0.1086532381887082,-0.18532622039492708,0.2149091199389659
RelativeClause,RC_Obj-RC_Subj,RC_Obj,RC_Subj,40,241.0,-5.354842164532499,3.102682113647461,0.4759559631347656,0.0007711489215580514,0.3298846611924091,1.4144929258618504
RelativeClause,RC_Obj-RC_Subj,RC_Obj,RC_Subj,41,-6.0,-8.21858488904422,-1.8805828094482422,-3.4928979873657227,0.04815281204355415,0.13708764591319778,0.21521959448000416
RelativeClause,RC_Obj-RC_Subj,RC_Obj,RC_Subj,42,-325.0,6.792792272269889,-5.541604042053223,-3.5888867378234863,-0.0010336934701626888,-0.3337339661175065,-0.2290720046730712
RelativeClause,RC_Obj-RC_Subj,RC_Obj,RC_Subj,43,-602.0,-8.58506812723137,-8.30409574508667,-3.5760183334350586,0.09090589223342249,-0.455040844182804,-1.1318035328295082
RelativeClause,RC_Obj-RC_Subj,RC_Obj,RC_Subj,44,-390.0,-10.910354406168455,-6.463440895080566,-3.2486143112182617,0.050613674950909626,-3.3738527143359534,-5.8345292073790915
RelativeClause,RC_Obj-RC_Subj,RC_Obj,RC_Subj,45,402.0,16.117652446279052,2.3568849563598633,-0.2758369445800781,-0.26485120027484754,0.37291739778083866,0.8796505582286045
RelativeClause,RC_Obj-RC_Subj,RC_Obj,RC_Subj,46,67.0,-8.836981183499564,-3.2564878463745117,-4.14271879196167,0.17317850969266146,0.2493341968220193,0.23936556483386084
RelativeClause,RC_Obj-RC_Subj,RC_Obj,RC_Subj,47,-325.0,-3.7114445408496035,-4.8820481300354,-2.928643226623535,0.007555877295089886,0.016283372693578713,0.3670898245763965
RelativeClause,RC_Obj-RC_Subj,RC_Obj,RC_Subj,48,-40.0,-0.9675610242611157,-4.156927108764648,-5.100461959838867,0.0013307587942108512,0.032428475400593015,0.08303632558090612
AttachmentAmbiguity,AttachHigh-AttachMulti,AttachHigh,AttachMulti,49,-712.0,2.173720784692488,-4.550038576126099,0.6351108551025391,4.7421190174645744e-07,-3.8717238072495093,-11.859776950499509
AttachmentAmbiguity,AttachHigh-AttachMulti,AttachHigh,AttachMulti,50,0.0,0.7328445781136477,0.7582845687866211,0.765230655670166,-0.0036343028768897057,0.03726758906850591,-0.011576462828088552
AttachmentAmbiguity,AttachHigh-AttachMulti,AttachHigh,AttachMulti,51,0.0,-0.343271041746692,0.11359453201293945,0.11465692520141602,0.003438730724155903,-0.05004077007833985,-0.20301398093579337
AttachmentAmbiguity,AttachHigh-AttachMulti,AttachHigh,AttachMulti,52,0.0,0.3608161219659465,-0.03643202781677246,-0.3578205108642578,-1.573020654177526e-06,-0.0014648378055426292,-0.028921152756083757
AttachmentAmbiguity,AttachHigh-AttachMulti,AttachHigh,AttachMulti,53,-367.0,2.426285014334894,-2.098175525665283,0.49651384353637695,-2.977677468152251e-05,-0.7545900188597443,-1.2644552642013878
AttachmentAmbiguity,AttachHigh-AttachMulti,AttachHigh,AttachMulti,54,0.0,-0.18036790221042764,0.0003574192523956299,0.26475954055786133,3.573040885385126e-06,-1.3758777640759945e-05,-0.005303984507918358
AttachmentAmbiguity,AttachHigh-AttachMulti,AttachHigh,AttachMulti,55,0.0,-0.14601506397515074,0.31420135498046875,0.3530726432800293,2.920418046414852e-05,-0.3237095045442402,-0.7485855082923081
AttachmentAmbiguity,AttachHigh-AttachMulti,AttachHigh,AttachMulti,56,0.0,0.05741691471299326,0.22212982177734375,0.38790082931518555,-2.9526883736252785e-05,-0.0042923987784888595,-0.12233645055675879
AttachmentAmbiguity,AttachHigh-AttachMulti,AttachHigh,AttachMulti,57,-146.0,-0.1832426668117222,-0.16950440406799316,1.0355677604675293,1.1741261118913826e-07,-0.16369784210110083,0.2707940102554858
AttachmentAmbiguity,AttachHigh-AttachMulti,AttachHigh,AttachMulti,58,0.0,-0.17422208894607394,0.1333789825439453,0.5696368217468262,0.0009488826617598534,-0.09068089750144281,-0.27974454045761377
AttachmentAmbiguity,AttachHigh-AttachMulti,AttachHigh,AttachMulti,59,-88.0,0.2690350018954426,0.04944038391113281,0.5525360107421875,-1.7241836758330464e-06,-0.15161583611916285,-0.1521899674553424
AttachmentAmbiguity,AttachHigh-AttachMulti,AttachHigh,AttachMulti,60,111.0,-1.3780353449256317,1.116175651550293,0.37482547760009766,8.051074473769404e-06,0.09495510785927763,-0.042179497715551406
AttachmentAmbiguity,AttachHigh-AttachMulti,AttachHigh,AttachMulti,61,0.0,0.15723556470271483,-0.09985589981079102,-0.0050563812255859375,-1.3076074537821114e-05,-0.05141940154499025,-0.19734272453933954
AttachmentAmbiguity,AttachHigh-AttachMulti,AttachHigh,AttachMulti,62,0.0,0.05279895463868667,0.2236170768737793,0.25679731369018555,-0.01736786961555481,0.12413941871454881,0.2663868788658874
AttachmentAmbiguity,AttachHigh-AttachMulti,AttachHigh,AttachMulti,63,0.0,0.17868886440576404,0.25893640518188477,0.2981071472167969,-0.00019730511121451855,-0.03899898613235564,-0.3395303947618231
AttachmentAmbiguity,AttachHigh-AttachMulti,AttachHigh,AttachMulti,64,125.0,0.17709119233158077,0.7116913795471191,-0.07339191436767578,-3.627064870670438e-07,0.180952418842935,0.1073557857889682
AttachmentAmbiguity,AttachHigh-AttachMulti,AttachHigh,AttachMulti,65,-607.0,2.767625848233804,-4.5051398277282715,-0.3636765480041504,-6.521290197269991e-05,-0.5457340606881189,-1.0895681008696556
AttachmentAmbiguity,AttachHigh-AttachMulti,AttachHigh,AttachMulti,66,0.0,-0.3781453286214731,0.16788148880004883,0.45958614349365234,4.656377132050693e-05,0.047816949452681,0.22241954557830468
